route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
06250825-ST,20250730,20250730-ST-7707,ST - Union Station,,1,45A,LIUN,1,2,
06250825-LW,20250730,20250730-LW-1737,LW - West Harbour GO,,0,05P,UNWR,1,1,
06250825-LE,20250730,20250730-LE-9007,LE - Union Station,,1,22A,OSUN,1,2,
06250825-LW,20250730,20250730-LW-1704,LW - Union Station,,1,12A,WRUN,1,2,
06250825-GT,20250730,20250730-GT-3011,KI - Bramalea GO,,0,12A,UNBE,1,1,
06250825-LW,20250730,20250730-LW-1013,LW - Aldershot GO,,0,11A,UNAL,1,1,
06250825-LW,20250730,20250730-LW-1015,LW - Aldershot GO,,0,16A,UNAL,1,1,
06250825-LW,20250730,20250730-LW-1709,LW - West Harbour GO,,0,26A,UNWR,1,1,
06250825-MI,20250730,20250730-MI-2737,MI - Milton GO,,0,27P,UNML,1,2,
06250825-LW,20250730,20250730-LW-1108,LW - Union Station,,1,07A,OAUN,1,2,
06250825-RH,20250730,20250730-RH-5010,RH - Union Station,,1,43A,BMUN,1,2,
06250825-GT,20250730,20250730-GT-3020,KI - Union Station,,1,09P,BEUN,1,1,
06250825-BR,20250730,20250730-BR-6927,BR - Allandale Waterfront GO,,0,43P,UNAD,1,2,
06250825-ST,20250730,20250730-ST-7435,ST - Union Station,,1,50A,MJUN,1,1,
06250825-BR,20250730,20250730-BR-6910,BR - Union Station,,1,67A,ADUN,1,1,
06250825-LW,20250730,20250730-LW-1026,LW - Union Station,,1,26A,ALUN,1,1,
06250825-BR,20250730,20250730-BR-6316,BR - Union Station,,1,57A,AUUN,1,1,
06250825-LE,20250730,20250730-LE-9109,LE - Union Station,,1,01A,OSUN,1,2,
06250825-GT,20250730,20250730-GT-3205,KI - Bramalea GO,,0,44A,UNBE,1,1,
06250825-LW,20250730,20250730-LW-1020,LW - Union Station,,1,16A,ALUN,1,1,
06250825-BR,20250730,20250730-BR-6521,BR - Bradford GO,,0,61A,UNBD,1,1,
06250825-LW,20250730,20250730-LW-1720,LW - Union Station,,1,20A,WRUN,1,1,
06250825-LE,20250730,20250730-LE-9010,LE - Durham College Oshawa GO,,0,20A,UNOS,1,1,
06250825-LW,20250730,20250730-LW-1037,LW - Aldershot GO,,0,59P,UNAL,1,1,
06250825-GT,20250730,20250730-GT-3806,KI - Union Station,,1,53A,KIUN,1,2,
06250825-LW,20250730,20250730-LW-1726,LW - Union Station,,1,28A,WRUN,1,1,
06250825-GT,20250730,20250730-GT-3937,KI - Guelph Central GO,,0,57P,UNGL,1,1,
06250825-LW,20250730,20250730-LW-1323,LW - Oakville GO,,0,55P,UNOA,1,2,
06250825-BR,20250730,20250730-BR-6606,BR - Union Station,,1,62A,ADUN,1,2,
